X,Y,OBJECTID,BIKERACKSID,SOURCE,SOURCE_DATE,CATEGORY,OWNERSHIP,CAPACITY,LOCATION
-80.48653303,43.45005577,91,29047,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,5,DUKE/FREDERICK PARKING GARAGE
-80.49204863,43.45177154,92,29167,,,SECURE CAGE,KITCHENER,40+,KITCHENER CITY HALL
-80.48903436,43.44889222,93,29168,,,SECURE CAGE,KITCHENER,40+,CHARLES/BENTON PARKING GARAGE
-80.48655229,43.4524792,94,34568,JOSH JOSEPH,2013-05-02T00:00:00.000Z,SECURE CAGE,KITCHENER,40+,KPL - MAIN BRANCH
-80.51806269,43.45374552,95,34848,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.51806992,43.45375719,96,34849,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.5176527,43.45251349,97,34850,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.51767235,43.45262705,98,34851,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.51771244,43.45268592,99,34852,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.51809323,43.4532605,100,34853,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.5180538,43.45320173,101,34854,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.51820048,43.45342677,102,34855,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.51837619,43.45378582,103,34856,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.51839193,43.45378017,104,34857,2012 ORTHO,2012-04-15T00:00:00.000Z,RING AND POST,KITCHENER,2,BELMONT VILLAGE
-80.49258035,43.45120248,105,44171,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,FIX-IT STAND,KITCHENER,,CITY HALL
-80.48403536,43.44807265,106,49107,AUG 2014 WALKABOUT,2014-08-20T00:00:00.000Z,RACK,KITCHENER,10+,KITCHENER MARKET
-80.48971623,43.44928549,107,49109,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,46 QUEEN ST S
-80.48401126,43.44806111,108,49106,AUG 2014 WALKABOUT,2014-08-20T00:00:00.000Z,RACK,KITCHENER,10+,KITCHENER MARKET
-80.48406143,43.4479817,109,49108,AUG 2014 WALKABOUT,2014-08-20T00:00:00.000Z,RING AND POST,KITCHENER,2,KITCHENER MARKET
-80.49602767,43.44718835,110,49528,,,RACK,KITCHENER,6,THE BOATHOUSE
-80.49937359,43.44533499,111,49538,,,RING AND POST,KITCHENER,2,
-80.49579502,43.44350612,112,44194,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,FIX-IT STAND,KITCHENER,,560 QUEEN ST S (IRON HORSE TRAIL)
-80.48414942,43.44808482,113,44268,JOSH JOSEPH,2014-05-26T00:00:00.000Z,FIX-IT STAND,KITCHENER,,KTCHENER MARKET (EBY ST SIDE)
-80.48405416,43.44799072,114,28989,AUG 2014 WALKABOUT,2014-08-20T00:00:00.000Z,RING AND POST,KITCHENER,2,KITCHENER MARKET
-80.49304657,43.4511756,115,44170,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,213 KING ST W
-80.4878771,43.4493419,116,34786,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST E (CRABBY JOES)
-80.48820878,43.44863664,117,44184,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,FROGURT PLACE
-80.49714992,43.45132097,118,34770,JOSH JOSEPH 2013,2013-05-22T00:00:00.000Z,DERO RACK,KITCHENER,2,CHARLES ST W (DIRECT OFFICE EQUIPMENT)
-80.49483889,43.45175749,119,44148,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,305 KING ST W
-80.48592226,43.44849874,120,44190,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,200 KING ST E (THE HIVE)
-80.49355562,43.45145494,121,44152,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,SHOPPERS DRUG MART
-80.49285938,43.45037886,122,34778,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,GAUKEL ST (ACROSS FROM KAVA BEAN COMMONS)
-80.4944166,43.4518527,123,44180,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,EATON LOFTS
-80.49354968,43.45146385,124,44151,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,SHOPPERS DRUG MART
-80.48608745,43.4486506,125,44189,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,100 KING ST E (THE RECORD)
-80.48692343,43.44892095,126,44186,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,100 KING ST E (MARKET SQUARE)
-80.49470944,43.45182195,127,44149,MAY 2014 WALKABOUT,2014-05-12T00:00:00.000Z,DERO RACK,KITCHENER,2,310 KING ST W
-80.48925639,43.44991965,128,34783,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST W (BMO)
-80.4960976,43.4521558,129,34829,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST W (TD BANK)
-80.48803789,43.44927727,130,44183,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,67 KING ST E
-80.48853337,43.44948548,131,44182,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,BIA OFFICE
-80.49720535,43.45134096,132,34769,JOSH JOSEPH 2013,2013-05-22T00:00:00.000Z,DERO RACK,KITCHENER,2,CHARLES ST W (PHARMASAVE)
-80.48507493,43.44814647,133,44191,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,236 KING ST E (NEW CITY SUPERMARKET)
-80.49366925,43.45138996,134,34773,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST W (MANULIFE)
-80.48970031,43.45009548,135,44177,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,CONRAD CENTRE
-80.49015745,43.45054952,136,34782,JOSH JOSEPH 2013,2013-05-22T00:00:00.000Z,DERO RACK,KITCHENER,2,ONTARIO ST N (SCOTIABANK)
-80.49262834,43.45121553,137,34777,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST W (CITY HALL)
-80.48882193,43.44961317,138,44181,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,20/20 VISION
-80.49293134,43.45113933,139,48653,AUG 2014 WALKABOUT,2014-08-20T00:00:00.000Z,RACK,KITCHENER,4,
-80.48423255,43.44822843,140,34788,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,YETI CAFE
-80.49493998,43.45189951,141,44179,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,DALLAS
-80.49181505,43.44974577,142,34779,JOSH JOSEPH 2013,2013-05-22T00:00:00.000Z,DERO RACK,KITCHENER,2,CHARLES ST W (CAFE PYRUS)
-80.48457622,43.44793647,143,34791,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST E (MORNING GLORY CAFE)
-80.49407818,43.44918922,144,34790,JOSH JOSEPH 2013,2013-05-22T00:00:00.000Z,DERO RACK,KITCHENER,2,JOSEPH ST (TREEHAUS)
